"Function / Call Stack","Effective Time","Spin Time","Overhead Time","Module","Function (Full)","Source File","Start Address"
"malloc","0.391714","0","0","msvcrt.dll","malloc","[Unknown]","0x110119cd0"
" operator new","0.344605","0","0","libstdc++-6.dll","operator new(unsigned long long)","[Unknown]","0x3bea7aa50"
"  func@0x14003c260","0.110529","0","0","kirlis1.exe","func@0x14003c260","[Unknown]","0x14003c260"
"  func@0x140017e30","0.110257","0","0","kirlis1.exe","func@0x140017e30","[Unknown]","0x140017e30"
"  func@0x140062d20 <- func@0x1400653e0 <- func@0x140069f00 <- func@0x140047da0","0.0473649","0","0","kirlis1.exe","func@0x140062d20","[Unknown]","0x140062d20"
"  std::istream::_M_extract<unsigned int> <- func@0x14001b4c0 <- [kirlis1.exe] <- _tmainCRTStartup <- mainCRTStartup <- BaseThreadInitThunk <- RtlUserThreadStart","0.0463939","0","0","libstdc++-6.dll","std::istream::_M_extract<unsigned int>(unsigned int&)","[Unknown]","0x3be9e2a30"
"  func@0x1400283e0 <- func@0x14002a590 <- func@0x14002b4e0 <- func@0x14006a6f0 <- _tmainCRTStartup <- mainCRTStartup <- BaseThreadInitThunk <- RtlUserThreadStart","0.015202","0","0","kirlis1.exe","func@0x1400283e0","[Unknown]","0x1400283e0"
"  func@0x140018f50 <- func@0x14006a6f0 <- _tmainCRTStartup <- mainCRTStartup <- BaseThreadInitThunk <- RtlUserThreadStart","0.0148575","0","0","kirlis1.exe","func@0x140018f50","[Unknown]","0x140018f50"
" func@0x1400075f0 <- func@0x140042b20 <- func@0x140021b10 <- func@0x140026670 <- func@0x14002a590 <- func@0x14002b4e0 <- func@0x14006a6f0 <- _tmainCRTStartup <- mainCRTStartup <- BaseThreadInitThunk <- RtlUserThreadStart","0.0312565","0","0","kirlis1.exe","func@0x1400075f0","[Unknown]","0x1400075f0"
" func@0x140039fc0 <- func@0x1400283e0 <- func@0x14002a590 <- func@0x14002b4e0 <- func@0x14006a6f0 <- _tmainCRTStartup <- mainCRTStartup <- BaseThreadInitThunk <- RtlUserThreadStart","0.0158528","0","0","kirlis1.exe","func@0x140039fc0","[Unknown]","0x140039fc0"
"free","0.298426","0","0","msvcrt.dll","free","[Unknown]","0x110119c80"
"std::istream::_M_extract<unsigned int>","0.279487","0","0","libstdc++-6.dll","std::istream::_M_extract<unsigned int>(unsigned int&)","[Unknown]","0x3be9e2a30"
"RtlLeaveCriticalSection","0","0.218957","0","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x18002f230"
"func@0x140043e90","0.172333","0","0","kirlis1.exe","func@0x140043e90","[Unknown]","0x140043e90"
"RtlEnterCriticalSection","0","0.170419","0","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x18002faa0"
"memcpy","0.14105","0","0","msvcrt.dll","memcpy","[Unknown]","0x1101743c0"
"func@0x14005f080","0.124567","0","0","kirlis1.exe","func@0x14005f080","[Unknown]","0x14005f080"
"_dynamic_cast","0.0953218","0","0","libstdc++-6.dll","_dynamic_cast","[Unknown]","0x3bea7baa0"
"_strtodg","0.0948426","0","0","kirlis1.exe","_strtodg","strtodg.c","0x140031620"
"errno","0.0941987","0","0","msvcrt.dll","errno","[Unknown]","0x110107d60"
"func@0x140044740","0.0780642","0","0","kirlis1.exe","func@0x140044740","[Unknown]","0x140044740"
